21-05-2021,Veronika,Francesco Evangelista,FrancescoEvangelista.jpg
06-11-2020,Veronika,Heather Kulik,kulik.jpg
17-10-2022,Veronika,Nicola Spaldin,spaldin.jpeg
08-05-2020,Veronika,Pavel Jungwirth,jungwirth.jpg
08-04-2022,Veronika,Reinhard Maurer,maurer2_1170.jpg
04-10-2018,Veronika,William Jorgensen,jorgensen.jpg
16-02-2024,Yannick,Mario Geiger,geiger.jpg
04-03-2022,Yannick,Michele Ceriotti,michele.jpg
06-04-2023,Yannick,Perdew,perdew.jpg
29-10-2021,Yannick,Roberto Car,Roberto-Car-768x771.png
23-11-2023,Yuri,Jacqueline Cole,colej.jpg
18-03-2022,Yuri,John Kitchin,jkitchin.png
28-04-2023,Yuri,Julia Westermayr,westermayr.jpg
10-10-2022,Yuri,Pascal Friederich,Pascal_Friederich.jpg
